vol_input,regime,n,mean,std,median,mae,rmse,gain_pct,pct_positive
Flat BSM,ALL,2000,3.5958596437596198,42.09925936621478,15.193065914007141,31.116905424500523,42.242060460420845,0.0,70.85000000000001
SVI Surface,ALL,2000,-0.3079168398916909,46.041838280567326,13.45839036913992,32.642177783830135,46.03135626502956,-9.364960271763167,69.45
RV (Close-Close),ALL,2000,6.387461367533157,39.66467921937603,11.24923427020922,29.42644267580341,40.165903412085,5.782952440233502,66.05
RV (Parkinson),ALL,2000,-17.954234846346626,60.29972401260541,2.4606733941003514,38.411457931962374,62.9014565535342,-43.232268026540964,54.0
RV (Yang-Zhang),ALL,2000,-5.080184932433601,49.86293220302411,7.912963677402973,34.18912220065545,50.108653252977795,-18.441352540847266,61.650000000000006
Flat BSM,Low,500,8.09941708033961,18.360876233257347,10.118563151715295,15.986377390261836,20.051136864082935,0.0,71.8
SVI Surface,Low,500,7.453817695153243,19.97792094428187,8.98999289986073,16.68252792178189,21.304424161146528,-8.807012750816012,69.19999999999999
RV (Close-Close),Low,500,4.681195735857999,19.66251252639599,5.842549748474003,15.661837112131987,20.192938458045003,-7.0891839616072705,64.2
RV (Parkinson),Low,500,-3.395709549267611,22.68726339313823,-0.30484574196650893,17.27058233543126,22.917533457422465,-23.563075666532907,49.0
RV (Yang-Zhang),Low,500,3.0725721565956237,19.678963619398356,5.185086425678504,15.722882266419521,19.89793420365098,-7.178782588564792,60.8
Flat BSM,Normal,500,19.70691494880493,18.20028100298143,19.771507251043005,22.595104618331856,26.81324719107596,0.0,87.6
SVI Surface,Normal,500,19.214549015081634,18.052522757866814,19.446492245735385,22.00486552269549,26.35224249699496,0.8118459549630641,86.6
RV (Close-Close),Normal,500,12.72735359541429,20.98432661517142,13.389770030349203,19.81375588494232,24.524412513002474,-15.296717736027965,79.2
RV (Parkinson),Normal,500,5.58707884750797,22.286561493854876,6.5757828063380375,18.040962582099137,22.954583237802577,-22.45174396045897,65.0
RV (Yang-Zhang),Normal,500,10.65572639513162,20.929238747812285,12.225209182526964,18.941940016056346,23.467029498888564,-14.994041819375292,73.0
Flat BSM,High,500,19.365660097824932,20.63554776367324,21.818815722471143,24.481626544728222,28.284323765441428,0.0,83.6
SVI Surface,High,500,19.27650829943445,19.869924806576794,21.014730903753218,23.76443166938592,27.669623347879945,3.710213878810853,82.39999999999999
RV (Close-Close),High,500,18.194231898108562,23.18604662112069,22.087277771558067,25.364481376458635,29.454161790196977,-12.359734215232887,77.8
RV (Parkinson),High,500,4.0605492936761625,27.63878580214669,9.369928802645182,22.67155391379702,27.908112372965775,-33.93773753271492,64.2
RV (Yang-Zhang),High,500,10.566898619283544,24.852521190357116,13.897152277078611,22.711162285802526,26.982806754085676,-20.435480923396774,73.2
Flat BSM,Crisis,500,-32.78855355193099,64.4187527806845,-34.14270863581705,61.404513144680195,72.22579457802563,0.0,40.400000000000006
SVI Surface,Crisis,500,-47.176542369236095,65.91417917897209,-62.72217398546222,68.11688602145726,81.00380119920479,-2.3214147026081378,39.6
RV (Close-Close),Crisis,500,-10.052935759248223,66.96534301521257,-7.05865299598286,56.86569632968071,67.64946391653345,-3.9531815265005266,43.0
RV (Parkinson),Crisis,500,-78.06885797730301,88.97454879568491,-98.94886999198059,95.66273289652207,118.30208780325574,-38.11901807320195,37.8
RV (Yang-Zhang),Crisis,500,-44.61593690074519,79.94377770384406,-56.81136661988273,79.38050423434342,91.4811860652549,-24.100163776866278,39.6
